source,row,col,filename,size,labeled
PPL_O2.png,4,2,lk_female_sari_3.webp,792,True
PPL_O2.png,4,3,sd_male_traditional_2.webp,792,True
PPL_O2.png,4,4,ly_female_hijab_2.webp,792,True
PPL_O3.png,0,0,au_male_outback_2.webp,792,True
PPL_O3.png,0,1,au_female_sunhat.webp,792,True
PPL_O3.png,0,2,nz_male_maori_3.webp,792,True
PPL_O3.png,0,3,nz_male_maori_4.webp,792,True
PPL_O3.png,0,4,nz_female_casual.webp,792,True
PPL_O3.png,1,0,tr_male_fez_2.webp,792,True
PPL_O3.png,1,1,tr_female_hijab.webp,792,True
PPL_O3.png,1,2,iq_male_traditional_2.webp,792,True
PPL_O3.png,1,3,iq_male_pakol.webp,792,True
PPL_O3.png,1,4,af_female_hijab.webp,792,True
PPL_O3.png,2,0,ye_male_traditional_2.webp,792,True
PPL_O3.png,2,1,af_female_niqab.webp,792,True
PPL_O3.png,2,2,af_female_niqab_2.webp,792,True
PPL_O3.png,2,3,np_male_traditional.webp,792,True
PPL_O3.png,2,4,lk_female_sari_4.webp,792,True
PPL_O3.png,3,0,mm_male_conical.webp,792,True
PPL_O3.png,3,1,mm_female_thanaka_3.webp,792,True
PPL_O3.png,3,2,kh_female_traditional.webp,792,True
PPL_O3.png,3,3,kp_male_military_2.webp,792,True
PPL_O3.png,3,4,kh_female_traditional_2.webp,792,True
PPL_O3.png,4,0,mn_male_deel_3.webp,792,True
PPL_O3.png,4,1,mz_female_casual_2.webp,792,True
PPL_O3.png,4,2,mz_male_casual.webp,792,True
PPL_O3.png,4,3,sd_male_traditional_3.webp,792,True
PPL_O3.png,4,4,ly_female_casual.webp,792,True
